,Mean Error (cm),Max Error (cm),Min Error (cm),RMSE (cm)
Wall LOS,20.320570911554096,39.58179999999999,0.6924000000000063,21.61021341409436
Wood LOS,24.553730027068834,46.96249999999998,3.0456999999999965,25.697098467256865
Glass LOS,25.42520241592578,44.59100000000001,6.302599999999998,26.419963775982566
Metal LOS,27.476154040989943,48.3433,7.559399999999997,28.376533401472525
Hallway,29.094118693069312,44.59100000000001,13.18780000000001,29.548972186460798
Glass LOS-NLOS,29.742354097698833,51.421400000000006,5.064000000000007,30.786520144197322
Glass NLOS,32.97203154945904,89.5453,0.10970000000000368,35.93688243622391
Wood LOS-NLOS,34.02893250301326,82.04069999999996,6.940100000000001,36.30365963893572
Metal LOS-NLOS,50.691207442409926,109.61840000000001,4.426400000000001,56.53357531411433
Wood NLOS,56.379002107094536,93.88029999999998,2.605099999999993,61.125471596219825
Metal NLOS,68.34261488210282,89.5087,51.967600000000004,68.5681971853667
Wall NLOS,80.47611229223038,94.55439999999999,57.596000000000004,80.65735404351031
Exterior,,,,
